City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Oron,NG,23.51,broken clouds,4.8256,8.2343,Aqua Belloni Lodge
187,Jalu,LY,28.94,clear sky,29.0331,21.5482,صاحبة الفخامة
188,Port-Gentil,GA,25.98,scattered clouds,-0.7193,8.7815,Fengshui Residence
193,Oeiras Do Para,BR,30.76,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
194,Zuwarah,LY,23.35,clear sky,32.9312,12.082,تيدارت انغ
196,Sao Caetano De Odivelas,BR,26.51,moderate rain,-0.75,-48.02,Lá Kitano
204,Tarrafal,CV,26.44,scattered clouds,15.2833,-23.7667,Hotel Ixola
205,Sinnamary,GF,27.63,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
206,Belmonte,BR,24.46,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
208,Riyadh,SA,26.08,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
209,Masunga,BW,22.37,clear sky,-20.6246,27.4488,
210,San Rafael,AR,27.73,clear sky,-34.6177,-68.3301,Hotel San Rafael
211,Muzaffargarh,PK,27.01,clear sky,30.0754,71.1921,NewAghosh hotel and restaurant
212,Cayce,US,23.53,broken clouds,33.9657,-81.074,Fairfield by Marriott Inn & Suites Columbia Downtown
213,Brokopondo,SR,30.37,light rain,4.75,-55.1667,Matu Island
216,Loandjili,CG,24.75,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
217,Bonthe,SL,24.58,moderate rain,7.5264,-12.505,Bonthe Holiday Village
219,Mwense,ZM,24.63,clear sky,-10.3845,28.698,Mwense Council Guest House
220,Point Pedro,LK,27.49,overcast clouds,9.8167,80.2333,Gtr homes
224,Bubaque,GW,27.42,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
225,Hukuntsi,BW,25.04,clear sky,-24.0,21.75,Its me guest house
226,Hindoria,IN,22.6,scattered clouds,23.9,79.5667,जहान होटल
228,Bandarbeyla,SO,25.34,overcast clouds,9.4942,50.8122,JABIR HOTEL
231,Soyo,AO,24.45,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
233,Mayor Pablo Lagerenza,PY,29.98,broken clouds,-19.9309,-60.7718,
235,Chiman,PK,24.63,clear sky,32.5463,73.8138,Master Muhammad zafar iqbal
236,Takoradi,GH,24.17,few clouds,4.8845,-1.7554,Raybow International Hotel
237,Puerto Carreno,CO,28.99,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
243,Jaciara,BR,27.02,overcast clouds,-15.9653,-54.9683,Taba Hotel
252,Hansi,IN,26.66,clear sky,29.1,75.9667,Green Valley Lodge
253,Kohlu,PK,22.64,clear sky,29.8962,69.252,B &R Rest House
256,Maragogi,BR,23.97,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
259,Boa Vista,BR,22.99,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
264,Olinda,BR,24.85,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
266,Salalah,OM,27.05,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
269,Sur,OM,26.93,clear sky,22.5667,59.5289,Sur Plaza Hotel
273,Moultrie,US,29.9,clear sky,31.1799,-83.7891,Moultrie Inn
277,Linden,GY,26.78,overcast clouds,6.0,-58.3,Crimson Bat Hotel
279,San Ramon De La Nueva Oran,AR,24.68,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
280,Guanica,PR,30.59,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
283,Pasni,PK,26.28,clear sky,25.2631,63.471,Kashmiri Hotal
284,Ghanzi,BW,23.23,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
288,Hilton Head Island,US,23.03,overcast clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
291,Itarema,BR,25.52,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
292,Sao Paulo De Olivenca,BR,24.93,overcast clouds,-3.3783,-68.8725,
293,Tucupita,VE,29.0,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
296,General Roca,AR,24.79,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
298,Narayanpet,IN,23.81,scattered clouds,16.7333,77.5,Vasundra tiffins
300,Veraval,IN,26.2,few clouds,20.9,70.3667,Lords Inn Somnath
301,Puerto Leguizamo,CO,28.56,overcast clouds,-0.1934,-74.7819,la casona de juancho
302,Kyabe,TD,23.66,light rain,9.4515,18.9449,
