City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sanford,US,28.8006,-81.2731,31.81,39,0,5.14,clear sky
79,Mehamn,NO,71.0357,27.8492,3.95,100,75,2.06,broken clouds
80,Sabha,LY,27.0377,14.4283,29.28,37,0,7.47,clear sky
81,Oum Hadjer,TD,13.2954,19.6966,30.99,44,0,4.06,clear sky
82,Mecca,SA,21.4267,39.8261,27.5,49,0,0.68,clear sky
83,Cockburn Town,TC,21.4612,-71.1419,28.78,70,99,2.35,overcast clouds
84,Kapuskasing,CA,49.4169,-82.4331,13.05,38,75,4.63,broken clouds
85,Saint-Philippe,RE,-21.3585,55.7679,19.01,77,35,5.08,scattered clouds
86,Afzalgarh,IN,29.4,78.6833,23.57,75,0,1.07,clear sky
87,Gorele,TR,41.0308,39.0031,19.76,92,100,5.61,light rain
88,Souillac,MU,-20.5167,57.5167,21.21,73,75,4.12,broken clouds
89,Torbay,CA,47.6666,-52.7314,9.76,71,75,6.26,broken clouds
90,Port Elizabeth,ZA,-33.918,25.5701,18.16,96,75,0.89,broken clouds
91,Lebu,CL,-37.6167,-73.65,13.28,73,67,3.05,broken clouds
92,Clyde River,CA,70.4692,-68.5914,-0.87,74,100,3.09,overcast clouds
93,Moose Factory,CA,51.2585,-80.6094,11.0,46,0,5.14,clear sky
94,Saint-Joseph,RE,-21.3667,55.6167,18.45,77,18,4.18,few clouds
95,Cayenne,GF,4.9333,-52.3333,32.02,55,0,4.63,clear sky
96,Vila Franca Do Campo,PT,37.7167,-25.4333,23.44,87,64,6.12,broken clouds
97,Thinadhoo,MV,0.5333,72.9333,27.9,69,100,6.66,overcast clouds
98,Bayir,TR,37.2687,28.2167,22.29,68,0,4.07,clear sky
99,Korla,CN,41.7597,86.1469,8.33,26,0,5.72,clear sky
100,Ahvaz,IR,31.3203,48.6693,26.97,24,0,0.0,clear sky
101,Porto Novo,BJ,6.4965,2.6036,24.9,86,100,0.61,overcast clouds
102,Cartagena,CO,10.3997,-75.5144,30.79,74,40,6.17,scattered clouds
103,Hornostayivka,UA,47.0078,33.729,13.51,73,6,9.55,clear sky
104,Bosaso,SO,11.2842,49.1816,30.18,60,90,1.59,overcast clouds
105,Zhezkazgan,KZ,47.8043,67.7144,3.22,32,0,4.92,clear sky
106,Ostersund,SE,63.1792,14.6357,9.78,100,100,2.57,overcast clouds
107,Yar-Sale,RU,66.8333,70.8333,2.58,84,100,5.92,overcast clouds
108,Saint Anthony,US,45.0205,-93.218,23.87,43,20,4.63,few clouds
109,Berlevag,NO,70.8578,29.0864,4.89,87,100,3.09,overcast clouds
110,Hofn,IS,64.2539,-15.2082,8.09,66,97,2.35,overcast clouds
111,Aswan,EG,24.0934,32.907,33.61,21,0,2.06,clear sky
112,Moville,US,42.4889,-96.0725,26.8,18,13,6.58,few clouds
113,Mbandaka,CD,0.0487,18.2603,20.25,97,100,1.93,overcast clouds
114,Sambava,MG,-14.2667,50.1667,18.96,85,3,3.93,clear sky
115,Vytegra,RU,61.0064,36.4481,4.7,90,55,2.6,broken clouds
116,Shache,CN,38.4167,77.2406,15.16,23,100,2.59,overcast clouds
117,Pisco,PE,-13.7,-76.2167,20.03,64,0,6.17,clear sky
118,Maniitsoq,GL,65.4167,-52.9,2.13,62,100,0.97,overcast clouds
119,Harper,LR,4.375,-7.7169,24.46,90,97,3.3,light rain
120,Mahebourg,MU,-20.4081,57.7,21.81,73,75,4.12,broken clouds
121,Coihaique,CL,-45.5752,-72.0662,18.97,30,0,3.6,clear sky
122,Laguna,US,38.421,-121.4238,27.83,49,0,4.12,clear sky
123,Porto Nacional,BR,-10.7081,-48.4172,37.0,20,79,1.53,broken clouds
124,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,33.78,33,87,2.4,overcast clouds
125,Fortaleza,BR,-3.7227,-38.5247,28.07,65,0,6.17,clear sky
126,Maceio,BR,-9.6658,-35.7353,25.69,73,40,4.63,scattered clouds
127,Kalemie,CD,-5.9475,29.1947,25.21,56,98,2.05,overcast clouds
128,Lagoa,PT,39.05,-27.9833,21.46,89,100,7.11,overcast clouds
129,Isabela,PH,6.7085,121.9711,25.89,86,100,1.17,overcast clouds
130,Fuerte Olimpo,PY,-21.0415,-57.8738,28.9,42,5,3.2,clear sky
131,Muhos,FI,64.808,25.9931,7.16,96,15,2.27,few clouds
132,Sajanan,TN,37.0573,9.2426,16.51,66,1,1.28,clear sky
133,Nouadhibou,MR,20.931,-17.0347,23.99,64,0,5.66,sand
134,Rio Grande,BR,-32.035,-52.0986,21.06,81,16,2.68,few clouds
135,Yenagoa,NG,4.9247,6.2642,23.23,95,100,1.34,overcast clouds
136,Varnamo,SE,57.186,14.04,10.59,67,80,2.24,broken clouds
