City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Betioky,MG,2022-10-02 00:47:09,-23.7167,44.3833,291.75,67,0,1.28
68,Cap Malheureux,MU,2022-10-02 00:47:10,-19.9842,57.6142,293.97,64,36,1.34
69,Kushmurun,KZ,2022-10-02 00:47:10,52.4503,64.6311,272.29,49,46,3.15
70,Buy,RU,2022-10-02 00:47:11,58.4786,41.53,285.75,99,100,2.81
71,Georgetown,MY,2022-10-02 00:47:11,5.4112,100.3354,300.11,88,20,1.54
72,Fort Wellington,GY,2022-10-02 00:47:11,6.4,-57.6,300.25,82,11,4.75
73,Port Shepstone,ZA,2022-10-02 00:47:12,-30.7414,30.455,292.66,85,100,2.71
74,Arlit,NE,2022-10-02 00:47:12,18.7369,7.3853,305.17,31,5,1.95
75,Santa Cruz Del Sur,CU,2022-10-02 00:47:12,20.7147,-77.9956,298.56,83,100,2.37
76,Paita,PE,2022-10-02 00:47:13,-5.0892,-81.1144,290.96,84,6,7.32
77,Garowe,SO,2022-10-02 00:47:13,8.4054,48.4845,297.05,65,99,6.7
78,Brae,GB,2022-10-02 00:47:14,60.3964,-1.353,284.58,87,100,7.55
79,Longyearbyen,SJ,2022-10-02 00:47:14,78.2186,15.6401,275.06,93,75,1.03
80,Novyy Urengoy,RU,2022-10-02 00:47:15,66.0833,76.6333,272.13,63,93,5.85
81,Coihaique,CL,2022-10-02 00:43:58,-45.5752,-72.0662,282.49,61,0,0.0
82,Cusuna,HN,2022-10-02 00:47:15,15.85,-85.2333,297.98,86,100,2.3
83,Bredasdorp,ZA,2022-10-02 00:47:16,-34.5322,20.0403,283.64,90,39,1.67
84,Pangnirtung,CA,2022-10-02 00:47:16,66.1451,-65.7125,272.45,53,0,2.21
85,Gamba,GA,2022-10-02 00:48:17,-2.65,10.0,297.13,90,100,2.88
86,Dawlatabad,AF,2022-10-02 00:48:17,36.4141,64.9053,287.34,28,0,1.55
87,Arona,ES,2022-10-02 00:46:45,28.0996,-16.681,291.44,64,20,3.09
88,Soyo,AO,2022-10-02 00:48:17,-6.1349,12.3689,296.98,89,77,3.08
89,Tocopilla,CL,2022-10-02 00:48:18,-22.092,-70.1979,290.0,61,3,2.1
90,Coquimbo,CL,2022-10-02 00:47:56,-29.9533,-71.3436,286.0,94,40,2.06
91,Safaga,EG,2022-10-02 00:48:18,26.7292,33.9365,303.22,42,0,7.31
92,Geraldton,AU,2022-10-02 00:48:19,-28.7667,114.6,292.38,52,6,4.63
93,Mar Del Plata,AR,2022-10-02 00:47:04,-38.0023,-57.5575,288.68,75,0,3.09
94,Souillac,MU,2022-10-02 00:48:19,-20.5167,57.5167,294.36,60,40,4.12
95,Castro,BR,2022-10-02 00:48:19,-24.7911,-50.0119,286.99,93,0,0.82
96,Hurghada,EG,2022-10-02 00:48:20,27.2574,33.8129,304.17,29,0,6.17
97,Vila Franca Do Campo,PT,2022-10-02 00:48:20,37.7167,-25.4333,296.59,85,95,5.08
98,Kemin,KG,2022-10-02 00:48:21,42.7846,75.6892,280.5,55,80,0.52
99,Port Hawkesbury,CA,2022-10-02 00:48:21,45.6169,-61.3485,286.12,90,0,2.06
100,Klaksvik,FO,2022-10-02 00:48:22,62.2266,-6.589,283.66,85,100,10.47
101,Port-Cartier,CA,2022-10-02 00:44:18,50.0334,-66.8654,279.97,54,7,3.97
102,Derzhavinsk,KZ,2022-10-02 00:48:22,51.1,66.3167,271.38,52,0,3.43
103,Mongo,TD,2022-10-02 00:48:23,12.1844,18.693,299.48,58,94,2.95
104,Palmas,BR,2022-10-02 00:48:23,-10.2128,-48.3603,301.08,54,0,2.06
105,Petropavl,KZ,2022-10-02 00:48:23,54.8753,69.1628,270.67,64,46,2.86
106,Comodoro Rivadavia,AR,2022-10-02 00:48:24,-45.8667,-67.5,283.07,53,0,5.14
107,Tazovskiy,RU,2022-10-02 00:48:24,67.4667,78.7,271.68,72,100,4.87
108,Korla,CN,2022-10-02 00:48:24,41.7597,86.1469,283.93,20,100,6.18
109,Mocuba,MZ,2022-10-02 00:48:25,-16.8392,36.9856,292.37,87,0,1.18
110,Dalvik,IS,2022-10-02 00:48:25,65.9702,-18.5286,280.11,94,100,1.37
111,Chuy,UY,2022-10-02 00:48:25,-33.6971,-53.4616,285.25,92,100,2.22
112,Ilesha,NG,2022-10-02 00:48:26,7.1371,5.2583,294.58,99,72,1.25
113,Darnah,LY,2022-10-02 00:48:26,32.767,22.6367,302.72,41,0,1.97
114,Bandarbeyla,SO,2022-10-02 00:48:26,9.4942,50.8122,297.45,82,92,10.17
115,Victoria,HK,2022-10-02 00:43:59,22.2855,114.1577,304.92,84,18,4.02
116,Saldanha,ZA,2022-10-02 00:48:27,-33.0117,17.9442,282.18,78,91,1.86
117,Nouadhibou,MR,2022-10-02 00:48:27,20.931,-17.0347,294.14,73,0,7.72
118,Aktash,RU,2022-10-02 00:48:27,50.3,87.7333,259.45,55,4,1.47
119,Tutoia,BR,2022-10-02 00:48:28,-2.7619,-42.2744,299.37,82,17,5.34
120,Borba,BR,2022-10-02 00:48:28,-4.3878,-59.5939,297.15,91,100,2.13
121,Brasileia,BR,2022-10-02 00:45:37,-11.0161,-68.7481,297.75,59,4,1.59
122,Mao,ES,2022-10-02 00:48:28,39.8885,4.2658,290.46,82,0,2.06
123,Antropovo,RU,2022-10-02 00:48:29,58.3988,43.0066,285.21,97,100,2.9
124,Sipovo,BA,2022-10-02 00:48:29,44.2814,17.0839,283.72,90,0,1.85
125,Caravelas,BR,2022-10-02 00:48:29,-17.7125,-39.2481,295.83,74,100,3.21
126,Badalona,ES,2022-10-02 00:44:35,41.45,2.2474,293.71,69,0,2.06
127,Jalu,LY,2022-10-02 00:48:30,29.0331,21.5482,303.25,22,0,2.55
128,Entebbe,UG,2022-10-02 00:48:30,0.0644,32.4469,292.33,100,20,2.06
129,Mpophomeni,ZA,2022-10-02 00:48:31,-29.5682,30.1862,287.21,94,100,0.85
130,Sao Joao Da Barra,BR,2022-10-02 00:45:53,-21.6403,-41.0511,295.2,82,53,5.02
131,Salinopolis,BR,2022-10-02 00:49:31,-0.6136,-47.3561,299.18,83,25,4.01
132,Leshukonskoye,RU,2022-10-02 00:49:32,64.8989,45.7622,275.91,97,83,1.93
133,Limon,CR,2022-10-02 00:49:32,10.0,-83.0333,298.18,94,75,2.57
